Year,Rank,MovieID,Gross
2022,18,rl3990913793,1854898
2022,19,rl104235777,1674163
2022,20,rl3443163905,1671257
2022,21,rl147096321,1464465
2022,22,rl1294828289,1271932
2022,23,rl1731953409,1174922
2022,24,rl1841791745,1139201
2022,25,rl4226253569,1086397
2022,26,rl2044232449,1070340
2022,27,rl533955329,930105
2022,28,rl3459941121,884306
2022,29,rl3258614529,870248
2022,30,rl2737603329,811098
2022,31,rl3102638849,741899
2022,32,rl2011595521,735419
2022,33,rl4292838145,728359
2022,34,rl315851521,721679
2022,35,rl3476718337,715994
2022,36,rl892437249,646171
2022,37,rl2932704001,622668
2022,38,rl3670704897,596900
2022,39,rl1614250753,572166
2022,40,rl1137869569,559752
2022,41,rl4007691009,554922
2022,42,rl1059685121,539072
2022,43,rl835355393,487138
2022,44,rl180454145,484358
2022,45,rl808026881,443845
2022,46,rl2687271681,410579
2022,47,rl3408757505,407743
2022,48,rl2985591553,406973
2022,49,rl1759937281,398560
2022,50,rl1748599553,375163
2022,51,rl1143964417,351735
2022,52,rl1865908993,349085
2022,53,rl200442625,343708
2022,54,rl2445509377,341171
2022,55,rl2888073985,338596
2022,56,rl1104315137,325578
2022,57,rl2968814337,320608
2022,58,rl4024468225,319751
2022,59,rl1272349441,319624
2022,60,rl1966703361,317976
2022,61,rl1776714497,310491
2022,62,rl3610477313,298884
2022,63,rl1765376769,295402
2022,64,rl2061009665,291072
2022,65,rl1808237313,276867
2022,66,rl3084354305,241788
2022,67,rl3687482113,239907
2022,68,rl3358819073,221564
2022,69,rl3033957121,218991
2022,70,rl3002368769,210364
2022,71,rl1391231745,209457
2022,72,rl3017245441,208758
2022,73,rl875660033,207421
2022,74,rl4075848449,206673
2022,75,rl299074305,203454
2022,76,rl3017179905,202654
2022,77,rl3956179713,199874
2022,78,rl3704259329,195393
2022,79,rl1121092353,195163
2022,80,rl4006511361,175968
2022,81,rl163873537,170954
2022,82,rl299664129,168154
2022,83,rl3721036545,167350
2022,84,rl197427969,166684
2022,85,rl4092625665,164320
2022,86,rl2817360641,159926
2022,87,rl316441345,155063
2022,88,rl180650753,152905
2022,89,rl333218561,146409
2022,90,rl3845292801,139524
2022,91,rl217219841,128610
2022,92,rl2077786881,120581
2022,93,rl53904129,119838
2022,94,rl2704048897,115147
2022,95,rl3375596289,106371
2022,96,rl1237943041,104034
2022,97,rl2000257793,102231
2022,98,rl3425927937,101255
2022,99,rl3050799873,100620
2022,100,rl1983480577,100018
2022,101,rl3989734145,99329
2022,102,rl214205185,98439
2022,103,rl163676929,96437
2022,104,rl3392373505,92667
2022,105,rl2127069953,89820
2022,106,rl3203105537,89250
2022,107,rl724206337,88076
2022,108,rl603226881,87828
2022,109,rl3135144705,87294
2022,110,rl230982401,84415
2022,111,rl2783085313,83128
2022,112,rl1408008961,80875
2022,113,rl3386868481,78676
2022,114,rl1254720257,78515
2022,115,rl3409150721,77011
2022,116,rl910131969,68248
2022,117,rl1480360705,67940
2022,118,rl926909185,67877
2022,119,rl3219882753,63583
2022,120,rl925532929,61756
2022,121,rl3000402689,60526
2022,122,rl842105601,59357
2022,123,rl841581313,57239
2022,124,rl1732018945,55540
2022,125,rl3119416065,54326
2022,126,rl4023288577,53885
2022,127,rl3234628353,51649
2022,128,rl1793491713,50334
2022,129,rl3789587201,50163
2022,130,rl1791460097,50134
2022,131,rl3034022657,49431
2022,132,rl757760769,48451
2022,133,rl2648408833,48158
2022,134,rl1009353473,46565
2022,135,rl3772809985,46347
2022,136,rl1354924801,46280
2022,137,rl1177518849,45673
2022,138,rl4109402881,43782
2022,139,rl1424786177,43333
2022,140,rl1306886913,43074
2022,141,rl3136193281,42912
2022,142,rl1647805185,42670
2022,143,rl675250945,40307
2022,144,rl1631027969,39304
2022,145,rl1288274689,39240
2022,146,rl3225060097,39207
2022,147,rl1512538881,36700
2022,148,rl1589805825,36547
2022,149,rl2754380545,36087
2022,150,rl707429121,35775
2022,151,rl417104641,34898
2022,152,rl1441563393,34047
2022,153,rl3241837313,33311
2022,154,rl1664582401,32595
2022,155,rl3806364417,31866
2022,156,rl1042907905,31839
2022,157,rl233997057,31239
2022,158,rl2985001729,30332
2022,159,rl2968224513,30331
2022,160,rl1271497473,30223
2022,161,rl3823141633,30177
2022,162,rl3737813761,30077
2022,163,rl1606583041,29494
2022,164,rl1290109697,27595
2022,165,rl740983553,27495
2022,166,rl3972956929,27326
2022,167,rl708805377,25383
2022,168,rl3403645697,24991
2022,169,rl2837742337,23903
2022,170,rl87458561,23825
2022,171,rl3151921921,22749
2022,172,rl3067577089,22101
2022,173,rl2079556353,21661
2022,174,rl2076738305,21569
2022,175,rl3275391745,19775
2022,176,rl4142957313,18261
2022,177,rl250774273,18149
2022,178,rl3168699137,17000
2022,179,rl3185476353,16476
2022,180,rl4126180097,15716
2022,181,rl70681345,15649
2022,182,rl3420422913,15391
2022,183,rl3908076289,15227
2022,184,rl3862070017,14603
2022,185,rl2938405633,13991
2022,186,rl2904851201,13013
2022,187,rl1323664129,12693
2022,188,rl3754590977,11897
2022,189,rl2439873281,11508
2022,190,rl824804097,11055
2022,191,rl3839918849,10450
2022,192,rl1810268929,9943
2022,193,rl692028161,9436
2022,194,rl1825014529,9265
